order_id,customer_name,date,gender,email,phone_number,category,price,quantity,customer_rating,month,sales
ORD-00001,Mercedes Sim,06/03/2026,-,mercedes.sim83@yahoo.com,(702) 995-8622,Not Known,9.38,2,2.5,June,18.76
ORD-00002,Aaron Portelli,06/03/2026,Male,aaron.portelli23@yahoo.com,(571) 960-4868,Home,465.25,4,4.2,June,1861.0
ORD-00003,Dalia Dijoux,06/04/2026,Female,dalia.dijoux49@hotmail.com,(304) 839-3706,Toys,242.5,7,3.6,June,1697.5
ORD-00004,Leonie Ramdin,06/04/2026,-,Invalid email,(401) 512-4558,Grocery,483.37,4,2.9,June,1933.48
ORD-00005,Unkown Unkown,06/04/2026,-,zahra.oliver91@outlook.com,(217) 946-9396,Beauty,242.5,5,3.7,June,1212.5
ORD-00006,Oswald Johnson,06/04/2026,-,oswald.johnson78@gmail.com,(915) 871-1145,Electronics,201.52,5,4.2,June,1007.6
ORD-00007,Kathleen Johnson,06/04/2026,Female,kathleen.johnson28@gmail.com,(484) 659-5062,Beauty,229.14,1,2.9,June,229.14
ORD-00008,Jackson Colley,05/05/2026,Male,jackson.colley37@hotmail.com,(954) 430-4048,Beauty,441.57,8,3.0,May,3532.56
ORD-00009,Khalil Oconnor,05/05/2026,-,Invalid email,(907) 942-0251,Beauty,19.99,9,1.1,May,179.91
ORD-00010,Isaiah Romero,06/05/2026,Male,isaiah.romero72@icloud.com,Unknown,Beauty,480.87,4,4.4,June,1923.48
ORD-00011,Tine Zahra,06/05/2026,Male,tine.zahra94@icloud.com,(571) 812-6063,Not Known,141.2,3,4.8,June,423.6
ORD-00012,Javkhlan Castro,06/05/2026,-,javkhlan.castro86@gmail.com,(704) 761-1563,Grocery,242.5,2,3.9,June,485.0
ORD-00013,Maktoum Balodis,06/05/2026,-,maktoum.balodis46@icloud.com,(951) 458-3855,Beauty,256.12,6,4.8,June,1536.72
ORD-00014,Eslam Didier,06/06/2026,Male,eslam.didier45@yahoo.com,(406) 512-6282,Grocery,365.6,6,1.6,June,2193.6
ORD-00015,Adama Watson,05/05/2026,Female,adama.watson40@tuta.com,(718) 310-8406,Not Known,341.72,5,1.1,May,1708.6
ORD-00016,Unkown Unkown,06/06/2026,-,hyun-sik.kasmi76@icloud.com,(323) 974-0470,Clothing,387.4,10,3.0,June,3874.0
ORD-00017,Telma Rivera,06/06/2026,Female,telma.rivera40@outlook.com,(315) 615-0520,Clothing,294.59,8,1.4,June,2356.72
ORD-00018,Hctor Saeed,06/06/2026,-,héctor.saeed67@gmail.com,(260) 794-3847,Electronics,297.16,6,3.9,June,1782.96
ORD-00019,Tudor Mintogo,06/07/2026,Male,tudor.mintogo31@hotmail.com,Unknown,Not Known,91.52,5,2.4,June,457.6
ORD-000012,Heather Kusumawati,05/05/2026,Female,heather.kusumawati78@gmail.com,Unknown,Not Known,300.35,4,4.2,May,1201.4
ORD-00021,Rowoon Ngong,05/05/2026,Male,ro-woon.ngong29@gmail.com,Unknown,Beauty,249.96,4,1.2,May,999.84
ORD-00022,Siyuan Peterson,06/07/2026,-,siyuan.peterson36@outlook.com,(330) 654-3962,Grocery,143.12,7,4.5,June,1001.84
ORD-00023,Faith Wood,06/08/2026,Female,faith.wood73@protonmail.com,(602) 313-4760,Home,242.5,9,1.5,June,2182.5
ORD-00024,Margot Berhe,06/08/2026,Female,margot.berhe50@hotmail.com,(954) 449-2807,Home,200.26,5,3.6,June,1001.3
ORD-00025,Henri Itsimaera,06/08/2026,Male,henri.itsimaera95@gmail.com,(972) 859-7465,Home,97.21,4,4.3,June,388.84
ORD-00026,Boubacar Davis,06/08/2026,-,boubacar.davis3@me.com,(360) 609-2779,Home,437.47,5,2.9,June,2187.35
ORD-00027,Samuela Zurita,06/08/2026,Male,samuela.zurita38@gmail.com,(727) 958-4471,Clothing,499.7,2,3.2,June,999.4
ORD-00028,Charlie Bouazza,06/08/2026,-,charlie.bouazza20@outlook.com,(702) 714-9734,Grocery,51.76,7,2.2,June,362.32
ORD-00029,Unkown Unkown,06/08/2026,-,habiyaremye.haddad35@icloud.com,(330) 696-4696,Clothing,456.76,2,4.5,June,913.52
ORD-00030,Firuz Andrews,06/09/2026,Male,firuz.andrews20@yahoo.com,(706) 942-0848,Beauty,68.82,1,3.6,June,68.82
ORD-00031,Finn Benameur,06/09/2026,-,finn.benameur62@outlook.com,(208) 617-1626,Electronics,419.56,5,1.7,June,2097.8
ORD-00032,Eli Myers,06/09/2026,Male,eli.myers47@gmail.com,(304) 834-8705,Toys,239.34,9,1.9,June,2154.06
ORD-00033,Joshua Petit,06/09/2026,Male,joshua.petit9@outlook.com,Unknown,Beauty,487.18,6,4.8,June,2923.08
ORD-00034,Nuwani Abilov,06/09/2026,-,nuwani.abilov13@gmail.com,(305) 934-5827,Grocery,408.77,5,2.8,June,2043.85
ORD-00035,Unkown Unkown,05/05/2026,-,sakala.dompig34@gmail.com,(713) 732-1413,Electronics,81.15,6,2.1,May,486.9
ORD-00036,Katherine Buyoya,06/10/2026,-,Invalid email,(605) 828-7996,Grocery,321.15,4,2.4,June,1284.6
ORD-00037,Zohra Emmanuel,06/10/2026,Female,zohra.emmanuel85@gmail.com,Unknown,Not Known,95.59,7,3.2,June,669.13
ORD-00038,Guillermo Pioche,06/10/2026,Male,guillermo.pioche2@icloud.com,(513) 356-9698,Beauty,169.03,10,2.9,June,1690.3
ORD-00039,Isse Leitn,06/10/2026,Male,isse.leitón78@icloud.com,(212) 558-6750,Clothing,242.5,4,3.3,June,970.0
ORD-00040,Rebecca Serifo,06/11/2026,Female,rebecca.serifo69@gmail.com,(281) 635-7183,Electronics,75.21,1,4.0,June,75.21
ORD-00041,Wissel Demir,06/11/2026,Female,wissel.demir1@gmail.com,(864) 914-6437,Electronics,147.7,9,1.3,June,1329.3
ORD-00042,Elizabeth Seumanutafa,06/11/2026,-,Invalid email,(253) 839-8943,Grocery,483.15,4,4.2,June,1932.6
ORD-00043,Fumihito Bipat,06/11/2026,Male,Invalid email,(216) 784-4457,Toys,107.74,7,4.2,June,754.18
ORD-00044,Mustafa Coulibaly,06/11/2026,Male,mustafa.coulibaly30@gmail.com,(240) 400-7818,Home,116.25,7,2.1,June,813.75
ORD-00000,Jacqueline Robbins,06/11/2026,-,jacqueline.robbins61@hotmail.com,(513) 500-6652,Grocery,236.57,5,1.4,June,1182.85
ORD-00046,Rubn Bukovsk,06/12/2026,Male,rubén.bukovský83@icloud.com,(817) 592-9662,Not Known,68.45,5,2.7,June,342.25
ORD-00047,Margaret Prokop,06/12/2026,-,margaret.prokop27@gmail.com,(804) 858-4230,Not Known,242.5,2,2.0,June,485.0
ORD-00048,Unkown Unkown,06/12/2026,Male,Invalid email,(585) 707-6759,Home,28.91,8,3.9,June,231.28
ORD-00049,Unkown Unkown,06/12/2026,Female,maria.jean-charles35@icloud.com,(318) 435-3397,Home,242.5,3,1.4,June,727.5
ORD-00050,Angajo Campos,06/13/2026,-,angajo.campos60@icloud.com,(785) 966-1393,Home,367.4,1,4.8,June,367.4
ORD-00051,Sebastio Tang,06/13/2026,-,sebastião.tang12@gmail.com,(914) 504-8794,Electronics,219.21,2,1.3,June,438.42
ORD-00052,Yanelis Kravanja,06/13/2026,-,yanelis.kravanja73@icloud.com,(859) 598-3373,Home,482.24,4,4.2,June,1928.96
ORD-00053,Isireli Mason,06/13/2026,-,isireli.mason37@gmail.com,(407) 375-3934,Electronics,496.93,3,2.8,June,1490.79
ORD-00056,Sufyan Reverdy,06/14/2026,Male,sufyan.reverdy10@gmail.com,(952) 847-7238,Electronics,432.77,6,3.4,June,2596.62
ORD-00057,Mahende Mass,06/14/2026,-,mahende.massé46@gmail.com,(770) 252-4713,Electronics,331.38,6,1.6,June,1988.28
ORD-00058,Olivia Schneider,06/14/2026,Female,olivia.schneider61@gmail.com,(770) 724-2133,Not Known,60.12,10,10.0,June,601.2
ORD-00059,Bram Pan,06/14/2026,Male,bram.pană39@gmail.com,(601) 641-4336,Toys,37.63,5,1.7,June,188.15
ORD-00060,Giselle Hackl,06/14/2026,-,giselle.hackl78@icloud.com,(205) 887-1133,Grocery,242.5,10,3.9,June,2425.0
ORD-00061,Gabrielle Lubenov,06/15/2026,Female,gabrielle.lubenov44@icloud.com,(205) 964-5157,Toys,450.3,2,1.2,June,900.6
ORD-00062,Angela Dangelo,06/15/2026,-,Invalid email,Unknown,Toys,493.96,9,6.5,June,4445.64
ORD-00064,Bernadette Faure,05/05/2026,Female,bernadette.faure92@icloud.com,(916) 720-6399,Toys,435.28,10,4.0,May,4352.8
ORD-00066,Patrcio Hadley,06/15/2026,Male,patrício.hadley25@yahoo.com,(812) 248-2012,Grocery,231.63,6,1.0,June,1389.78
ORD-00123,Nalwadda Erickson,06/16/2026,Female,nalwadda.erickson40@gmail.com,(202) 969-9878,Beauty,407.81,5,1.1,June,2039.05
ORD-00070,Christina Majid,06/16/2026,-,Invalid email,(617) 419-2245,Not Known,189.53,3,3.5,June,568.59
ORD-00071,Geeta Pak,06/16/2026,Female,geeta.pak13@icloud.com,(239) 270-8379,Home,97.73,4,2.4,June,390.92
ORD-00072,Mamadou Sekin,06/17/2026,-,mamadou.seçkin47@gmail.com,(770) 566-5856,Electronics,242.5,5,2.3,June,1212.5
ORD-00073,Unkown Unkown,06/17/2026,-,qaavigarssuaq.tufele73@gmail.com,(718) 225-7835,Toys,115.11,6,2.2,June,690.66
ORD-00074,Yohana Tautolo,06/17/2026,-,yohana.tautolo61@gmail.com,(262) 301-3021,Not Known,446.12,2,3.5,June,892.24
